"X","Name","Artist","RiaaStatus","Label"
393,"To the Max ","Dj Khaled","Gold","We the Best / Epic"
394,"Sorry not Sorry","Demi Lovato","4x Multi-Platinum","Island Records"
395,"Wild Thoughts ","Dj Khaled","4x Multi-Platinum","We the Best / Epic"
396,"when We","Tank","1x Platinum","R&b Money / Atlantic Records"
397,"Red","Taylor Swift","2x Multi-Platinum","Big Machine Records, Inc."
398,"Delicate","Taylor Swift","1x Platinum","Big Machine Records, Inc."
399,"all Too Well","Taylor Swift","Gold","Big Machine Records"
400,"The Best Day","Taylor Swift","Gold","Big Machine Records"
401,"i Knew you Were Trouble","Taylor Swift","7x Multi-Platinum","Big Machine Records, Inc."
402,"Everything Has Changed ","Taylor Swift","2x Multi-Platinum","Big Machine Records"
403,"End Game","Taylor Swift","1x Platinum","Big Machine Records"
404,"How you Get the Girl","Taylor Swift","Gold","Big Machine Records"
405,"Look What you Made Me Do","Taylor Swift","4x Multi-Platinum","Big Machine Records"
406,"The Way i Loved you","Taylor Swift","Gold","Big Machine Records, Inc."
407,"Welcome to New York","Taylor Swift","1x Platinum","Big Machine Records, Inc."
408,"Forever & Always","Taylor Swift","1x Platinum","Big Machine Records, Inc."
409,"Blank Space","Taylor Swift","8x Multi-Platinum","Big Machine Records, Inc."
410,"…ready for it","Taylor Swift","2x Multi-Platinum","Big Machine Records"
411,"Walk on Water","Thirty Seconds to Mars","Gold","Thirty Seconds to Mars / Interscope"
412,"Motorsport","Migos","3x Multi-Platinum","Quality Control Music / Motown Records / Capitol Records"
413,"Walk it Talk it","Migos","2x Multi-Platinum","Quality Control Music / Motown Records / Capitol Records"
414,"Yikes","Kanye West","Gold","G.o.o.d Music / Def Jam Recordings"
415,"Stir Fry","Migos","2x Multi-Platinum","Quality Control Music / Motown Records / Capitol Records"
416,"Narcos","Migos","1x Platinum","Quality Control Music / Motown Records / Capitol Records"
417,"I'll Name the Dogs","Blake Shelton","Gold","Warner Bros Nashville"
418,"King's Dead ","Jay Rock","2x Multi-Platinum","Tde / Aftermath / Interscope"
419,"Happier","Ed Sheeran","1x Platinum","Atlantic Records"
420,"That's What i Like","Bruno Mars","7x Multi-Platinum","Atlantic Records"
421,"The Matrimony ","Wale","1x Platinum","Atlantic Records"
422,"He Knows My Name","Francesca Battistelli","Gold","Word Records / Curb Records"
423,"you Make it Easy","Jason Aldean","1x Platinum","Broken Bow"
424,"Tru","Lloyd","1x Platinum","Young Goldie Music / Empire"
425,"Passionfruit","Drake","3x Multi-Platinum","Cash Money / Young Money / Republic Records"
426,"Furthest Thing","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
427,"Still Here","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
428,"Pop Style","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
429,"Successful","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
430,"Childs Play","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
431,"Jumpman","Drake","5x Multi-Platinum","Young Money / Cash Money / Republic Records"
432,"Do not Disturb","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
433,"Pound Cake/Paris Morton Music 2","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
434,"Summer Sixteen","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
435,"With you","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
436,"Digital Dash","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
437,"Jungle","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
438,"Fire & Desire","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
439,"Practice","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
440,"Teenage Fever","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
441,"Worst Behavior","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
442,"Know Yourself","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
443,"Fancy","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
444,"Redemption","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
445,"The Language","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
446,"Energy","Drake","3x Multi-Platinum","Young Money / Cash Money / Republic Records"
447,"all Me","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
448,"Find your Love","Drake","3x Multi-Platinum","Cash Money / Young Money / Republic Records"
449,"Right Hand","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
450,"Forever","Drake","6x Multi-Platinum","Cash Money / Young Money / Republic Records"
451,"Back to Back","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
452,"The Motto","Drake","5x Multi-Platinum","Cash Money / Young Money / Republic Records"
453,"9","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
454,"The Motto","Drake","5x Multi-Platinum","Cash Money / Young Money / Republic Records"
455,"Feel No Ways","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
456,"Shot for Me","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
457,"Doing it Wrong","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
458,"Best i Ever Had","Drake","4x Multi-Platinum","Cash Money / Young Money / Republic Records"
459,"6 God","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
460,"Hold On, We're Going Home","Drake","6x Multi-Platinum","Cash Money / Young Money / Republic Records"
461,"From Time","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
462,"Marvins Room","Drake","3x Multi-Platinum","Cash Money / Young Money / Republic Records"
463,"Signs","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
464,"10 Bands","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
465,"Hotline Bling","Drake","7x Multi-Platinum","Young Money / Cash Money / Republic Records"
466,"Too Good","Drake","3x Multi-Platinum","Cash Money / Young Money / Republic Records"
467,"Miss Me","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
468,"God's Plan","Drake","8x Multi-Platinum","Young Money / Cash Money / Republic Records"
469,"0 to 100 / the Catch Up","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
470,"Hyfr (Hellya Fucking Right)","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
471,"Too Much","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
472,"Nice for What","Drake","3x Multi-Platinum","Cash Money / Young Money / Republic Records"
473,"Sneakin'","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
474,"Hype","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
475,"u with Me?","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
476,"Blem","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
477,"One Dance","Drake","7x Multi-Platinum","Young Money / Cash Money / Republic Records"
478,"Started from the Bottom","Drake","5x Multi-Platinum","Cash Money / Young Money / Republic Records"
479,"Crew Love","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
480,"Up all Night","Drake","1x Platinum","Cash Money / Young Money / Republic Records"
481,"Feels","Calvin Harris","2x Multi-Platinum","Columbia"
482,"Make you Mine","High Valley","Gold","Atlantic"
483,"i can Only Imagine","Mercyme","3x Multi-Platinum","Fair Trade Services"
484,"Flawless","Mercyme","Gold","Fair Trade Services"
485,"i Wonder","Kanye West","Gold","Def Jam / Roc-a-Fella Records"
486,"Big Rings","Drake","2x Multi-Platinum","Cash Money / Young Money / Republic Records"
487,"Don't Let Me be Lonely","The Band Perry","Gold","Big Machine Label Group"
488,"Bottoms Up","Brantley Gilbert","4x Multi-Platinum","the Valory Music Co"
489,"Hable De Ti","Yandel","1x Platinum","Sony Latin"
490,"Hasta Abajo","Yandel","1x Platinum","Sony Latin"
491,"Mi Religion","Yandel","2x Multi-Platinum","Sony Latin"
492,"Moviendo Caderas","Yandel","5x Multi-Platinum","Sony Latin"
493,"Muy Personal","Yandel","1x Platinum","Sony Latin"
494,"Encantadora","Yandel","10x Diamond","Sony Latin"
495,"No Quiero Amores","Yandel","1x Platinum","Sony Latin"
496,"Doble Personalidad","Yandel","Gold","Sony Latin"
497,"No Sales De Mi Mente","Yandel","1x Platinum","Sony Latin"
498,"Dejate Amar","Yandel","1x Platinum","Sony Latin"
499,"Nunca Me Olvides","Yandel","5x Multi-Platinum","Sony Latin"
500,"Como Antes","Yandel","4x Multi-Platinum","Sony Latin"
501,"Plakito","Yandel","3x Multi-Platinum","Sony Latin"
502,"Solo Mia","Yandel","2x Multi-Platinum","Sony Latin"
503,"Calentura","Yandel","1x Platinum","Sony Latin"
504,"Explicale","Yandel","5x Multi-Platinum","Sony Latin"
505,"Wtf (where They from)","Missy Elliott","1x Platinum","Atlantic Records"
506,"Bohemian Rhapsody","Panic! at the Disco","Gold","Atlantic Records"
507,"Heathens","Twenty One Pilots","6x Multi-Platinum","Atlantic Records"
508,"Swimming Pools (Drank)","Kendrick Lamar","4x Multi-Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
509,"i","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
510,"That Part ","Schoolboy q","2x Multi-Platinum","Top Dawg Entertainment / Interscope"
511,"Hell of a Night","Schoolboy q","Gold","Top Dawg Entertainment / Interscope"
512,"King Kunta","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
513,"M.a.a.d. City ","Kendrick Lamar","2x Multi-Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
514,"The Blacker the Berry","Kendrick Lamar","Gold","Top Dawg Entertainment / Aftermath / Interscope Records"
515,"Man of the Year","Schoolboy q","2x Multi-Platinum","Top Dawg Entertainment / Interscope"
516,"The Recipe ","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
517,"Money Trees ","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
518,"Backseat Freestyle","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
519,"Collard Greens ","Schoolboy q","2x Multi-Platinum","Top Dawg Entertainment / Interscope"
520,"My Old Man","Zac Brown Band","Gold","Elektra / Atlantic Records"
521,"Untitled 02 | 06.23.2014","Kendrick Lamar","Gold","Top Dawg Entertainment / Aftermath / Interscope Records"
522,"Bitch, Don't Kill My Vibe","Kendrick Lamar","4x Multi-Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
523,"Poetic Justice ","Kendrick Lamar","2x Multi-Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
524,"i Gotta Feeling","The Black Eyed Peas","10x Diamond","Interscope / Geffen / A&m"
525,"Party Rock Anthem","Lmfao","10x Diamond","Interscope / Geffen / A&m"
526,"Blurred Lines","Robin Thicke","10x Diamond","Star Trak / Interscope"
527,"Fiebre","Ricky Martin","1x Platinum","Sony Latin"
528,"Drink a Beer","Luke Bryan","2x Multi-Platinum","Capitol Records Nashville"
529,"Move","Luke Bryan","Gold","Capitol Records Nashville"
530,"Fear.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
531,"Element.","Kendrick Lamar","1x Platinum","Tde / Aftermath / Interscope"
532,"Duckworth.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
533,"Feel.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
534,"Xxx. ","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
535,"Dna.","Kendrick Lamar","3x Multi-Platinum","Tde / Aftermath / Interscope"
536,"Yah.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
537,"Humble.","Kendrick Lamar","7x Multi-Platinum","Tde / Aftermath / Interscope"
538,"Pride.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
539,"Love. ","Kendrick Lamar","4x Multi-Platinum","Tde / Aftermath / Interscope"
540,"Blood.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
541,"Loyalty. ","Kendrick Lamar","2x Multi-Platinum","Tde / Aftermath / Interscope"
542,"Lust.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
543,"God.","Kendrick Lamar","Gold","Tde / Aftermath / Interscope"
544,"Tighten Up","The Black Keys","1x Platinum","Warner Bros Records"
545,"Fever","The Black Keys","Gold","Warner Bros Records"
546,"Gold on the Ceiling","The Black Keys","1x Platinum","Nonesuch"
547,"Little Black Submarine","The Black Keys","Gold","Warner Bros Records"
548,"Angel","Theory of a Deadman","Gold","Roadrunner / Atlantic"
549,"Howlin' for you","The Black Keys","1x Platinum","Warner Bros Records"
550,"Five more Minutes","Scotty Mccreery","1x Platinum","Triple Tigers Records"
551,"Dare (La La La)","Shakira","1x Platinum","Rca"
552,"Formation","Beyonce","1x Platinum","Columbia"
553,"Hold Up","Beyonce","1x Platinum","Columbia"
554,"Summertime Sadness","Lana Del Rey","4x Multi-Platinum","Polydor / Interscope"
555,"Tell your Heart to Beat Again","Danny Gokey","Gold","Bmg"
556,"Rollin","Calvin Harris","Gold","Columbia"
557,"Tiny Dancer","Elton John","3x Multi-Platinum","Rocket"
558,"Hard Times","Paramore","Gold","Fueled by Ramen"
559,"your Song","Elton John","2x Multi-Platinum","Island/Def Jam"
560,"Firecracker","Josh Turner","Gold","Mca Nashville"
561,"Time is Love","Josh Turner","1x Platinum","Mca Nashville"
562,"Hometown Girl","Josh Turner","1x Platinum","Mca Records Nashville"
563,"your Man","Josh Turner","2x Multi-Platinum","Mca Nashville"
564,"Long Black Train","Josh Turner","1x Platinum","Mca Nashville"
565,"Stronger","Kanye West","8x Multi-Platinum","Def Jam Records"
566,"Down on Me","Jeremih","4x Multi-Platinum","Def Jam"
567,"Bang My Head ","David Guetta","Gold","What a Music / Parlophone / Atlantic"
568,"No Lie","2 Chainz","2x Multi-Platinum","Island/Def Jam"
569,"Can't Tell Me Nothing","Kanye West","2x Multi-Platinum","Def Jam"
570,"What About Us","P!nk","1x Platinum","Rca Records"
571,"Heartless","Kanye West","6x Multi-Platinum","Roc-a-Fella Records"
572,"Waves","Kanye West","1x Platinum","Def Jam"
573,"all the Time","Jeremih","1x Platinum","Def Jam"
574,"The Best in Me","Marvin Sapp","Gold","Verity"
575,"Imagine Me","Kirk Franklin","Gold","Fo Yo Soul"
576,"Make Me ","Britney Spears","1x Platinum","Rca Records"
577,"Tell Me you Love Me","Demi Lovato","1x Platinum","Island Records / Hollywood Records"
578,"I'm Comin' over","Chris Young","2x Multi-Platinum","Rca Nashville"
579,"Weekend ","Mac Miller","1x Platinum","Warner Bros. Records"
580,"Dang!","Mac Miller","Gold","Warner Bros. Records"
581,"The Weekend","Brantley Gilbert","1x Platinum","Valory Music Group"
582,"a Woman Like you","Lee Brice","2x Multi-Platinum","Curb"
583,"Sad Song","We the Kings","Gold","s-Curve Records"
584,"Hey Mama ","David Guetta","3x Multi-Platinum","Parlophone / Atlantic Records"
585,"It's a Vibe","2 Chainz","2x Multi-Platinum","Def Jam"
586,"What Lovers Do ","Maroon 5","2x Multi-Platinum","222 Records / Interscope"
587,"Even if it Breaks your Heart","Eli Young Band","2x Multi-Platinum","the Valory Music Co"
588,"If i Die Young","The Band Perry","7x Multi-Platinum","Republic Nashville"
589,"you Look Like i Need a Drink","Justin Moore","Gold","the Valory Music Co"
590,"Yours if you Want it","Rascal Flatts","Gold","Big Machine Records"
591,"Call it What you Want","Taylor Swift","Gold","Big Machine Records"
592,"Lettin' the Night Roll","Justin Moore","1x Platinum","Valory Music Group"
593,"this Love","Taylor Swift","1x Platinum","Big Machine Records"
594,"2u ","David Guetta","1x Platinum","Def Jam"
595,"La Tortura","Shakira","32x Diamond","Epic"
596,"Fake Love","Drake","4x Multi-Platinum","Young Money / Cash Money / Republic Records"
597,"Sale El Sol","Shakira","1x Platinum","Sony Latin"
598,"Love on the Brain","Rihanna","3x Multi-Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
599,"Desperado","Rihanna","1x Platinum","Roc Nation"
600,"Ultra Light Beam","Kanye West","1x Platinum","Def Jam"
601,"Famous","Kanye West","2x Multi-Platinum","Def Jam"
602,"Stay","Rihanna","7x Multi-Platinum","Def Jam"
603,"Father Stretch My Hands Pt. 1","Kanye West","2x Multi-Platinum","Def Jam"
604,"Stressed Out","Twenty One Pilots","7x Multi-Platinum","Fueled by Ramen"
605,"Tear in My Heart","Twenty One Pilots","2x Multi-Platinum","Fueled by Ramen"
606,"Fairly Local","Twenty One Pilots","1x Platinum","Fueled by Ramen"
607,"Heavydirtysoul","Twenty One Pilots","1x Platinum","Fueled by Ramen"
608,"Hometown","Twenty One Pilots","Gold","Atlantic Records"
609,"Car Radio","Twenty One Pilots","2x Multi-Platinum","Fueled by Ramen"
610,"The Way i Am","Eminem","1x Platinum","Shady / Aftermath / Interscope"
611,"Phenomenal","Eminem","Gold","Shady / Aftermath / Interscope"
612,"Lose Yourself","Eminem","10x Diamond","Shady / Aftermath / Interscope"
613,"Ass Like that","Eminem","1x Platinum","Shady / Aftermath / Interscope"
614,"Like Toy Soldiers","Eminem","3x Multi-Platinum","Shady / Aftermath / Interscope"
615,"Hailie's Song","Eminem","Gold","Shady / Aftermath / Interscope"
616,"you Don't Know","Eminem","1x Platinum","Shady / Aftermath / Interscope"
617,"Cinderella Man","Eminem","1x Platinum","Shady / Aftermath / Interscope"
618,"'Till i Collapse","Eminem","5x Multi-Platinum","Shady / Aftermath / Interscope"
619,"8 Mile","Eminem","Gold","Shady / Aftermath / Interscope"
620,"Love the Way you Lie ","Eminem","12x Diamond","Shady / Aftermath / Interscope"
621,"Guts over Fear","Eminem","Gold","Shady / Aftermath / Interscope"
622,"Rap God","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
623,"when I'm Gone","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
624,"Crack a Bottle","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
625,"We Made you","Eminem","1x Platinum","Shady / Aftermath / Interscope"
626,"Mockingbird","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
627,"25 to Life","Eminem","Gold","Shady / Aftermath / Interscope"
628,"Superman","Eminem","1x Platinum","Shady / Aftermath / Interscope"
629,"Kings Never Die","Eminem","Gold","Shady / Aftermath / Interscope"
630,"White America","Eminem","Gold","Shady / Aftermath / Interscope"
631,"My Dad's Gone Crazy","Eminem","Gold","Shady / Aftermath / Interscope"
632,"Just Lose it","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
633,"Survival","Eminem","1x Platinum","Shady / Aftermath / Interscope"
634,"My Name is","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
635,"Cold Wind Blows","Eminem","Gold","Shady / Aftermath / Interscope"
636,"Kill you","Eminem","Gold","Shady / Aftermath / Interscope"
637,"Shake that","Eminem","3x Multi-Platinum","Shady / Aftermath / Interscope"
638,"Berzerk","Eminem","3x Multi-Platinum","Shady / Aftermath / Interscope"
639,"Headlights","Eminem","1x Platinum","Shady / Aftermath / Interscope"
640,"Beautiful","Eminem","3x Multi-Platinum","Shady / Aftermath / Interscope"
641,"Sing for the Moment","Eminem","1x Platinum","Shady / Aftermath / Interscope"
642,"Talkin' 2 Myself","Eminem","Gold","Shady / Aftermath / Interscope"
643,"without Me","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
644,"Cleanin' Out My Closet","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
645,"Guilty Conscience","Eminem","Gold","Shady / Aftermath / Interscope"
646,"3 A.m.","Eminem","Gold","Shady / Aftermath / Interscope"
647,"Give Me Everything ","Pitbull","6x Multi-Platinum","Rca"
648,"Space Bound","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
649,"The Monster","Eminem","6x Multi-Platinum","Shady / Aftermath / Interscope"
650,"Won't Back Down ","Eminem","1x Platinum","Shady / Aftermath / Interscope"
651,"No Love","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
652,"Stan","Eminem","2x Multi-Platinum","Shady / Aftermath / Interscope"
653,"The Real Slim Shady","Eminem","4x Multi-Platinum","Shady / Aftermath / Interscope"
654,"Free Smoke","Drake","1x Platinum","Young Money / Cash Money / Republic Records"
655,"Build God, then We'll Talk","Panic! at the Disco","Gold","Fueled by Ramen"
656,"Portland","Drake","2x Multi-Platinum","Young Money / Cash Money / Republic Records"
657,"Rebirthing","Skillet","Gold","Atlantic Records"
658,"Swalla","Jason Derulo","2x Multi-Platinum","Warner Bros Records"
659,"jar of Hearts","Christina Perri","5x Multi-Platinum","Atlantic Records"
660,"My P.y.t.","Wale","1x Platinum","Atlantic Records"
661,"Smile","Uncle Kracker","3x Multi-Platinum","Atlantic Records"
662,"Nine in the Afternoon","Panic! at the Disco","2x Multi-Platinum","Fueled by Ramen"
663,"Buzzin'","Shwayze","Gold","Suretone/Geffen"
664,"Corona and Lime","Shwayze","Gold","Suretone/Geffen"
665,"Work Bitch","Britney Spears","1x Platinum","Rca Records"
666,"Not Today","Twenty One Pilots","Gold","Fueled by Ramen"
667,"Photograph","Ed Sheeran","4x Multi-Platinum","Atlantic Records"
668,"Afire Love","Ed Sheeran","Gold","Atlantic Records"
669,"California Gurls ","Katy Perry","8x Multi-Platinum","Capitol Records"
670,"Part of Me","Katy Perry","4x Multi-Platinum","Capitol Records"
671,"Firework","Katy Perry","11x Diamond","Capitol Records"
672,"i Kissed a Girl","Katy Perry","6x Multi-Platinum","Capitol Records"
673,"Time of Dying","Three Days Grace","Gold","Rca Records"
674,"Pain","Three Days Grace","1x Platinum","Rca Records"
675,"Just Like you","Three Days Grace","Gold","Rca Records"
676,"Chalk Outline","Three Days Grace","Gold","Rca Records"
677,"World so Cold","Three Days Grace","1x Platinum","Rca Records"
678,"Break","Three Days Grace","1x Platinum","Rca Records"
679,"Riot","Three Days Grace","1x Platinum","Rca Records"
680,"Animal i Have Become","Three Days Grace","2x Multi-Platinum","Rca Records"
681,"i Hate Everything About you","Three Days Grace","2x Multi-Platinum","Rca Records"
682,"i Am Machine","Three Days Grace","Gold","Rca Records"
683,"The Good Life","Three Days Grace","1x Platinum","Rca Records"
684,"Never Too Late","Three Days Grace","2x Multi-Platinum","Rca Records"
685,"Home","Three Days Grace","Gold","Rca Records"
686,"24k Magic","Bruno Mars","5x Multi-Platinum","Atlantic Records"
687,"Al Filo De Tu Amor","Carlos Vives","1x Platinum","Sony Latin"
688,"The Cure","Lady Gaga","1x Platinum","Streamline  /  Interscope"
689,"Pt. 2","Kanye West","1x Platinum","Def Jam"
690,"What Now","Rihanna","1x Platinum","Def Jam"
691,"Cold Water ","Major Lazer","4x Multi-Platinum","Def Jam"
692,"Don't Tell 'Em","Jeremih","3x Multi-Platinum","Def Jam"
693,"Adore you","Miley Cyrus","2x Multi-Platinum","Rca"
694,"Do My Thang","Miley Cyrus","Gold","Rca"
695,"We Can't Stop","Miley Cyrus","5x Multi-Platinum","Rca"
696,"Fu","Miley Cyrus","Gold","Rca"
697,"Goner","Twenty One Pilots","Gold","Atlantic Records"
698,"Better with the Lights Off","New Boyz","1x Platinum","Warner Bros Records"
699,"Wide Awake","Katy Perry","5x Multi-Platinum","Capitol Records"
700,"Last Friday Night (T.g.i.f)","Katy Perry","6x Multi-Platinum","Capitol Records"
701,"Swish Swish","Katy Perry","1x Platinum","Capitol Records"
702,"all i Want is you","Miguel","1x Platinum","Bystorm/Rca"
703,"Somebody Else will","Justin Moore","Gold","the Valory Music Co"
704,"Even if","Mercyme","Gold","Fair Trade Services"
705,"Pills & Automobiles ","Chris Brown","1x Platinum","Rca"
706,"Questions","Chris Brown","Gold","Rca"
707,"Closer to Love","Mat Kearney","Gold","Columbia Records"
708,"Echame La Culpa","Luis Fonsi","3x Multi-Platinum","Universal Music Latino"
709,"Welcome to the Black Parade","My Chemical Romance","3x Multi-Platinum","Reprise"
710,"Numb","Linkin Park","4x Multi-Platinum","Warner Bros."
711,"Gorgeous","Taylor Swift","Gold","Big Machine Records"
712,"all you Had to Do Was Stay","Taylor Swift","Gold","Big Machine Records"
713,"Haunted","Taylor Swift","Gold","Big Machine Records"
714,"One Thing","Kevin Gates","Gold","Atlantic Records / Apg"
715,"Wasteland","10 Years","Gold","Republic Records"
716,"Quickie","Miguel","Gold","Bystorm/Rca"
717,"Simple Things","Miguel","Gold","Bystorm/Rca"
718,"Don't Wanna Know ","Maroon 5","2x Multi-Platinum","222 Records / Interscope"
719,"Do You…","Miguel","Gold","Bystorm/Rca"
720,"The Sound of Silence","Disturbed","3x Multi-Platinum","Warner Bros Records"
721,"Privacy","Chris Brown","1x Platinum","Rca"
722,"Crawl","Chris Brown","Gold","Rca"
723,"i can Transform Ya ","Chris Brown","2x Multi-Platinum","Rca"
724,"With you","Chris Brown","3x Multi-Platinum","Rca"
725,"Yo (Excuse Me Miss)","Chris Brown","1x Platinum","Rca"
726,"Superhuman","Chris Brown","Gold","Rca"
727,"Run It!","Chris Brown","2x Multi-Platinum","Rca"
728,"Sweet Love","Chris Brown","Gold","Rca"
729,"Zero","Chris Brown","Gold","Rca"
730,"Don't Think They Know ","Chris Brown","Gold","Rca"
731,"Say Goodbye","Chris Brown","1x Platinum","Rca"
732,"Take you Down","Chris Brown","Gold","Rca"
733,"Don't Judge Me","Chris Brown","1x Platinum","Rca"
734,"Gimme that","Chris Brown","1x Platinum","Rca"
735,"Next to you ","Chris Brown","1x Platinum","Rca"
736,"this Christmas","Chris Brown","Gold","Rca"
737,"No Bs ","Chris Brown","Gold","Rca"
738,"Forever","Chris Brown","4x Multi-Platinum","Rca"
739,"Grass Ain't Greener","Chris Brown","1x Platinum","Rca"
740,"Wall to Wall","Chris Brown","1x Platinum","Rca"
741,"Wet the Bed ","Chris Brown","Gold","Rca"
742,"Liquor","Chris Brown","1x Platinum","Rca"
743,"Don't Want this Night to End","Luke Bryan","4x Multi-Platinum","Capitol Records Nashville"
744,"Kick the Dust Up","Luke Bryan","2x Multi-Platinum","Capitol Records Nashville"
745,"New Flame ","Chris Brown","2x Multi-Platinum","Rca Records"
746,"4 Am","2 Chainz","1x Platinum","Def Jam"
747,"Big Amount","2 Chainz","Gold","Def Jam"
748,"Fine China","Chris Brown","1x Platinum","Rca Records"
749,"Feeling Myself","Nicki Minaj","2x Multi-Platinum","Young Money / Cash Money / Republic Records"
750,"Love more ","Chris Brown","1x Platinum","Rca Records"
751,"Shining ","Dj Khaled","1x Platinum","We the Best / Epic"
752,"Scholarships","Drake","1x Platinum","Young Money / Cash Money / Republic Records"
753,"The Hanging Tree Feat. Jennifer Lawrence","James Newton Howard","2x Multi-Platinum","Republic Records"
754,"No Shopping","French Montana","1x Platinum","Epic"
755,"Hard to Love","Lee Brice","2x Multi-Platinum","Curb Records"
756,"Drinking Class","Lee Brice","1x Platinum","Curb Records"
757,"Turn Up the Music","Chris Brown","1x Platinum","Rca"
758,"Adventure of a Lifetime","Coldplay","2x Multi-Platinum","Parlophone / Atlantic Records"
759,"We Don't Believe What's on Tv","Twenty One Pilots","Gold","Fueled by Ramen"
760,"Bon Appetit","Katy Perry","Gold","Capitol Records"
761,"Rise","Katy Perry","1x Platinum","Capitol Records"
762,"Everlong","Foo Fighters","2x Multi-Platinum","Rca"
763,"Times Like These","Foo Fighters","1x Platinum","Rca"
764,"The Pretender","Foo Fighters","2x Multi-Platinum","Rca Records"
765,"Learn to Fly","Foo Fighters","1x Platinum","Rca"
766,"Good Drank","2 Chainz","1x Platinum","Def Jam"
767,"Best of you","Foo Fighters","2x Multi-Platinum","Rca"
768,"Cranes in the Sky","Solange","Gold","Columbia"
769,"Look at Me Now","Chris Brown","5x Multi-Platinum","Rca"
770,"Beautiful People","Chris Brown","1x Platinum","Rca"
771,"Yeah 3x","Chris Brown","2x Multi-Platinum","Rca"
772,"Don't Wake Me Up","Chris Brown","2x Multi-Platinum","Rca"
773,"Back to Sleep","Chris Brown","1x Platinum","Rca"
774,"She Ain't you","Chris Brown","1x Platinum","Rca"
