,Name,Artist,Features,Streams,Week
1144,Taki Taki ,"DJ Snake, Selena Gomez, Ozuna, Cardi B, Selena Gomez, Ozuna, Cardi B",,1872163,2019-04-12
1145,Beautiful ,Bazzi,Camila Cabello,1861193,2019-04-12
1146,changes,XXXTENTACION,,1834017,2019-04-12
1147,Grinding All My Life,Nipsey Hussle,,1822973,2019-04-12
1148,Don't Stop Me Now - Remastered,Queen,,1810085,2019-04-12
1149,HUMBLE.,Kendrick Lamar,,1804236,2019-04-12
1150,Nuketown ,Ski Mask The Slump God,Juice WRLD,1799376,2019-04-12
1151,Insomnia,Daya,,1795591,2019-04-12
1152,Mine,Bazzi,,1773743,2019-04-12
1153,CHopstix ,"ScHoolboy Q, Travis Scott, Travis Scott",,1768936,2019-04-12
1154,goosebumps,Travis Scott,,1767869,2019-04-12
1155,Best Part ,H.E.R.,Daniel Caesar,1764414,2019-04-12
1156,Keanu Reeves,Logic,,1762324,2019-04-12
1157,No Role Modelz,J. Cole,,1761784,2019-04-12
1158,Secreto,Anuel AA,,1715777,2019-04-12
1159,This Feeling,The Chainsmokers,,1707496,2019-04-12
1160,Love Lies ,"Khalid, Normani, Normani",,1700011,2019-04-12
1161,YOSEMITE,Travis Scott,,1695940,2019-04-12
1162,Lean Wit Me,Juice WRLD,,1694622,2019-04-12
1163,Nice For What,Drake,,1690228,2019-04-12
1164,Girls Like You ,Maroon 5,Cardi B,1674551,2019-04-12
1165,Fine China,Future,,1669455,2019-04-12
1166,Con Altura,ROSALÍA,,1667149,2019-04-12
1167,On My Way,Alan Walker,,1665408,2019-04-12
1168,Walk Me Home,P!nk,,1664078,2019-04-12
1169,no tears left to cry,Ariana Grande,,1658481,2019-04-12
1170,Roses ,"benny blanco, Juice WRLD feat. Brendon Urie, Juice WRLD",Brendon Urie,1658387,2019-04-12
1171,Numb Numb Juice,ScHoolboy Q,,1649533,2019-04-12
1172,In My Feelings,Drake,,1648767,2019-04-12
1173,Die Young,Roddy Ricch,,1645494,2019-04-12
1174,Double Up ,Nipsey Hussle,Belly and Dom Kennedy,1625257,2019-04-12
1175,Candy Paint,Post Malone,,1605652,2019-04-12
1176,The Middle,Zedd,,1602929,2019-04-12
1177,TAlk tO Me ,"Tory Lanez, Rich The Kid feat. Lil Wayne, Rich The Kid",Lil Wayne,1598830,2019-04-12
1178,imagine,Ariana Grande,,1582479,2019-04-12
1179,Whiskey Glasses,Morgan Wallen,,1566393,2019-04-12
1180,Slime Belief,YoungBoy Never Broke Again,,1527477,2019-04-12
1181,Everybody Dies In Their Nightmares,XXXTENTACION,,1526829,2019-04-12
1182,She Got the Best of Me,Luke Combs,,1526360,2019-04-12
1183,BIG BANK ,YG,"2 Chainz, Big Sean, Nicki Minaj",1522632,2019-04-12
1184,Inmortal,Aventura,,1519370,2019-04-12
1185,FEFE,6ix9ine,,1512242,2019-04-12
1186,Feeling,Juice WRLD,,1507498,2019-04-12
1187,Lost In Japan,Shawn Mendes,,1507155,2019-04-12
1188,Calma - Remix,Pedro Capó,,1499759,2019-04-12
1189,Thunder,Imagine Dragons,,1494891,2019-04-12
1190,Falling Down - Bonus Track,Lil Peep,,1491997,2019-04-12
1191,Speed It Up,Gunna,,1487811,2019-04-12
1192,Heaven,Kane Brown,,1484293,2019-04-12
1193,Believer,Imagine Dragons,,1477026,2019-04-12
1194,Silence,Marshmello,,1471386,2019-04-12
1195,Say You Won't Let Go,James Arthur,,1471212,2019-04-12
1196,Close Friends (Lil Baby & Gunna),Lil Baby,,1469645,2019-04-12
1197,my boy,Billie Eilish,,1465147,2019-04-12
1198,West Coast ,G-Eazy,"Blueface, ALLBLACK, YG",1463743,2019-04-12
1199,This Is America,Childish Gambino,,15758906,2018-05-18
1200,Nice For What,Drake,,12687517,2018-05-18
1201,Better Now,Post Malone,,11831862,2018-05-18
1202,Psycho ,Post Malone,Ty Dolla $ign,10307897,2018-05-18
1203,God's Plan,Drake,,9030702,2018-05-18
1204,Look Alive ,BlocBoy JB,Drake,7997527,2018-05-18
1205,Paranoid,Post Malone,,7452991,2018-05-18
1206,I Like It,Cardi B,,7168626,2018-05-18
1207,rockstar ,Post Malone,21 Savage,7029639,2018-05-18
1208,Stay,Post Malone,,6581872,2018-05-18
1209,Spoil My Night ,Post Malone,Swae Lee,6547290,2018-05-18
1210,Rich & Sad,Post Malone,,6319363,2018-05-18
1211,Watch ,Travis Scott,"Lil Uzi Vert, Kanye West",6283230,2018-05-18
1212,no tears left to cry,Ariana Grande,,6195709,2018-05-18
1213,Plug Walk,Rich The Kid,,6050543,2018-05-18
1214,SAD!,XXXTENTACION,,5921607,2018-05-18
1215,Ball For Me ,Post Malone,Nicki Minaj,5910066,2018-05-18
1216,KOD,J. Cole,,5767580,2018-05-18
1217,Walk It Talk It,Migos,,5642223,2018-05-18
1218,OTW,Khalid,,5521352,2018-05-18
1219,Powerglide ,Rae Sremmurd,Juicy J,5336885,2018-05-18
1220,Candy Paint,Post Malone,,5249862,2018-05-18
1221,JAPAN,Famous Dex,,5229838,2018-05-18
1222,Ric Flair Drip (& Metro Boomin),Offset,,5185139,2018-05-18
1223,Over Now,Post Malone,,5008924,2018-05-18
1224,Call Out My Name,The Weeknd,,4935374,2018-05-18
1225,Shoota ,Playboi Carti,Lil Uzi Vert,4903615,2018-05-18
1226,Freaky Friday ,Lil Dicky,Chris Brown,4881994,2018-05-18
1227,Zack And Codeine,Post Malone,,4870785,2018-05-18
1228,92 Explorer,Post Malone,,4767470,2018-05-18
1229,Love Lies ,"Khalid, Normani, Normani",,4710590,2018-05-18
1230,The Middle,Zedd,,4520090,2018-05-18
1231,Takin' Shots,Post Malone,,4507585,2018-05-18
1232,One Kiss ,"Calvin Harris, Dua Lipa, Dua Lipa",,4486997,2018-05-18
1233,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,,4479195,2018-05-18
1234,Same Bitches ,Post Malone,"G-Eazy, YG",4448779,2018-05-18
1235,I Fall Apart,Post Malone,,4289264,2018-05-18
1236,Meant to Be ,Bebe Rexha,Florida Georgia Line,4281366,2018-05-18
1237,Playinwitme ,KYLE,Kehlani,4242231,2018-05-18
1238,King's Dead ,"Jay Rock, Kendrick Lamar, Future, James Blake, Kendrick Lamar, Future, James Blake",,4086784,2018-05-18
1239,FRIENDS,Marshmello,,3942961,2018-05-18
1240,All The Stars ,"Kendrick Lamar, SZA, SZA",,3905406,2018-05-18
1241,Yes Indeed,Lil Baby,,3887687,2018-05-18
1242,Mine,Bazzi,,3878310,2018-05-18
1243,Otherside,Post Malone,,3834426,2018-05-18
1244,Lucid Dreams,Juice WRLD,,3782486,2018-05-18
1245,Kevin’s Heart,J. Cole,,3621696,2018-05-18
1246,Be Careful,Cardi B,,3602602,2018-05-18
1247,Stir Fry,Migos,,3590941,2018-05-18
1248,Moonlight,XXXTENTACION,,3589068,2018-05-18
1249,Blame It On Me,Post Malone,,3573712,2018-05-18
1250,All Girls Are The Same,Juice WRLD,,3466978,2018-05-18
1251,Youngblood,5 Seconds of Summer,,3301305,2018-05-18
1252,XO TOUR Llif3,Lil Uzi Vert,,3248464,2018-05-18
1253,Sugar Wraith,Post Malone,,3171305,2018-05-18
1254,Te Boté - Remix,Nio Garcia,,3164528,2018-05-18
1255,ATM,J. Cole,,3158176,2018-05-18
1256,Youth ,Shawn Mendes,Khalid,3130277,2018-05-18
1257,lovely ,"Billie Eilish, Khalid, Khalid",,3073638,2018-05-18
1258,Heaven,Kane Brown,,3014036,2018-05-18
1259,Jettski Grizzley ,Tee Grizzley,Lil Pump,2984741,2018-05-18
1260,Motiv8,J. Cole,,2943183,2018-05-18
1261,PICK IT UP ,Famous Dex,A$AP Rocky,2935748,2018-05-18
1262,Chun-Li,Nicki Minaj,,2897097,2018-05-18
1263,Red Roses ,Lil Skies,Landon Cube,2875489,2018-05-18
1264,Esskeetit,Lil Pump,,2781165,2018-05-18
1265,Congratulations,Post Malone,,2741751,2018-05-18
1266,HUMBLE.,Kendrick Lamar,,2740079,2018-05-18
1267,In My Blood,Shawn Mendes,,2692973,2018-05-18
1268,1985 - Intro to “The Fall Off”,J. Cole,,2658711,2018-05-18
1269,Jocelyn Flores,XXXTENTACION,,2657124,2018-05-18
1270,Girls ,Rita Ora,"Cardi B, Bebe Rexha, Charli XCX",2643636,2018-05-18
1271,Clout ,Ty Dolla $ign,21 Savage,2603606,2018-05-18
1272,New Light,John Mayer,,2590794,2018-05-18
1273,1942,G-Eazy,,2587748,2018-05-18
1274,Young Dumb & Broke,Khalid,,2539820,2018-05-18
1275,Nevermind,Dennis Lloyd,,2531178,2018-05-18
1276,Nowadays ,Lil Skies,Landon Cube,2489633,2018-05-18
1277,Bank Account,21 Savage,,2489126,2018-05-18
1278,Redbone,Childish Gambino,,2464438,2018-05-18
1279,Pray For Me ,"The Weeknd, Kendrick Lamar, Kendrick Lamar",,2449453,2018-05-18
1280,Somebody,The Chainsmokers,,2449417,2018-05-18
1281,changes,XXXTENTACION,,2443132,2018-05-18
1282,goosebumps,Travis Scott,,2439717,2018-05-18
1283,R.I.P.,Playboi Carti,,2429163,2018-05-18
1284,Outside Today,YoungBoy Never Broke Again,,2379554,2018-05-18
1285,New Freezer ,Rich The Kid,Kendrick Lamar,2352346,2018-05-18
1286,Plain Jane,A$AP Ferg,,2344267,2018-05-18
1287,Fuck Love ,XXXTENTACION,Trippie Redd,2342556,2018-05-18
1288,Havana ,Camila Cabello,Young Thug,2324501,2018-05-18
1289,You Make It Easy,Jason Aldean,,2318563,2018-05-18
1290,Bounce Out With That,YBN Nahmir,,2308715,2018-05-18
1291,Remind Me to Forget,Kygo,,2306083,2018-05-18
1292,Location,Khalid,,2305335,2018-05-18
1293,X,Nicky Jam,,2298111,2018-05-18
1294,LOVE. FEAT. ZACARI.,Kendrick Lamar,,2294395,2018-05-18
1295,Everyday,Logic,,2277145,2018-05-18
1296,Bartier Cardi ,Cardi B,21 Savage,2269969,2018-05-18
1297,Marry Me,Thomas Rhett,,2254522,2018-05-18
1298,Bodak Yellow,Cardi B,,2216663,2018-05-18
1299,Delicate,Taylor Swift,,2212618,2018-05-18
1300,Never Be the Same,Camila Cabello,,2211775,2018-05-18
1301,2 Vaults ,Tee Grizzley,Lil Yachty,2203352,2018-05-18
1302,Drip ,Cardi B,Migos,2184427,2018-05-18
1303,Photograph,J. Cole,,2177454,2018-05-18
1304,Betrayed,Lil Xan,,2175765,2018-05-18
1305,BUTTERFLY EFFECT,Travis Scott,,2165322,2018-05-18
1306,CLOSE ,Rae Sremmurd,Travis Scott,2143585,2018-05-18
1307,Tequila,Dan + Shay,,2122474,2018-05-18
1308,Lust,Lil Skies,,2087183,2018-05-18
1309,Love Hurts ,Playboi Carti,Travis Scott,2078478,2018-05-18
1310,Guatemala - From Swaecation,Rae Sremmurd,,2076552,2018-05-18
1311,1-800-273-8255,Logic,,2067837,2018-05-18
1312,I Do ,Cardi B,SZA,2067823,2018-05-18
1313,Lift Yourself,Kanye West,,2065483,2018-05-18
1314,Beautiful,Bazzi,,2049459,2018-05-18
1315,MotorSport,Migos,,2038310,2018-05-18
1316,Roll In Peace ,Kodak Black,XXXTENTACION,2032161,2018-05-18
1317,No Limit,G-Eazy,,2029379,2018-05-18
1318,IDGAF,Dua Lipa,,2024208,2018-05-18
1319,Creeping ,Lil Skies,Rich the Kid,2013675,2018-05-18
1320,Fell In Luv ,Playboi Carti,Bryson Tiller,2010583,2018-05-18
1321,Jonestown (Interlude),Post Malone,,2003655,2018-05-18
1322,I Wanna Know ,NOTD,Bea Miller,1990343,2018-05-18
1323,Finesse - Remix; feat. Cardi B,Bruno Mars,,1940637,2018-05-18
1324,Thunder,Imagine Dragons,,1936641,2018-05-18
1325,I Get The Bag ,Gucci Mane,Migos,1910305,2018-05-18
1326,New Rules,Dua Lipa,,1909164,2018-05-18
1327,Let You Down,NF,,1904154,2018-05-18
1328,Unforgettable,French Montana,,1893867,2018-05-18
1329,Sky Walker ,Miguel,Travis Scott,1893804,2018-05-18
1330,Perfect,Ed Sheeran,,1876495,2018-05-18
1331,The Way Life Goes ,Lil Uzi Vert,Oh Wonder,1862579,2018-05-18
1332,Silence,Marshmello,,1827983,2018-05-18
1333,Familiar,Liam Payne,,1827780,2018-05-18
1334,Codeine Dreaming ,Kodak Black,Lil Wayne,1815957,2018-05-18
1335,1950,King Princess,,1787485,2018-05-18
1336,No Role Modelz,J. Cole,,1785049,2018-05-18
1337,Go Flex,Post Malone,,1763264,2018-05-18
1338,Believer,Imagine Dragons,,1762456,2018-05-18
1339,Body Like A Back Road,Sam Hunt,,1761185,2018-05-18
1340,Drowning ,A Boogie Wit da Hoodie,Kodak Black,1749384,2018-05-18
1341,Rubbin Off The Paint,YBN Nahmir,,1744027,2018-05-18
1342,Poke It Out ,"Playboi Carti, Nicki Minaj, Nicki Minaj",,1730213,2018-05-18
1343,Wanted You ,NAV,Lil Uzi Vert,1717014,2018-05-18
1344,Sorry Not Sorry,Demi Lovato,,1715496,2018-05-18
1345,Everybody Dies In Their Nightmares,XXXTENTACION,,1708770,2018-05-18
1346,Let Me,ZAYN,,1699788,2018-05-18
1347,One Number Away,Luke Combs,,1699564,2018-05-18
1348,DNA.,Kendrick Lamar,,1698832,2018-05-18
1349,Done for Me,Charlie Puth,,1697090,2018-05-18
1350,When It Rains It Pours,Luke Combs,,1693666,2018-05-18
1351,White Iverson,Post Malone,,1687228,2018-05-18
1352,Right Now ,Playboi Carti,Pi'erre Bourne,1683525,2018-05-18
1353,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,,1661395,2018-05-18
1354,Genius,Sia,,1657638,2018-05-18
1355,GOTTI,6ix9ine,,1655147,2018-05-18
1356,Shape of You,Ed Sheeran,,1652750,2018-05-18
1357,Wasted Times,The Weeknd,,1630568,2018-05-18
1358,Attention,Charlie Puth,,1628843,2018-05-18
1359,I Like Me Better,Lauv,,1627029,2018-05-18
1360,Boo'd Up,Ella Mai,,1600622,2018-05-18
1361,Passionfruit,Drake,,1596295,2018-05-18
1362,2002,Anne-Marie,,1595118,2018-05-18
1363,Singles You Up,Jordan Davis,,1585230,2018-05-18
1364,BRACKETS,J. Cole,,1572533,2018-05-18
1365,Ring ,Cardi B,Kehlani,1559801,2018-05-18
1366,The Cut Off ,J. Cole,kiLL edward,1558288,2018-05-18
1367,Four Out Of Five,Arctic Monkeys,,1554780,2018-05-18
1368,Narcos,Migos,,1551607,2018-05-18
1369,Gucci Flip Flops ,Bhad Bhabie,Lil Yachty,1550627,2018-05-18
1370,Love Galore ,SZA,Travis Scott,1550612,2018-05-18
1371,Whatever It Takes,Imagine Dragons,,1548983,2018-05-18
1372,44 More,Logic,,1548128,2018-05-18
1373,Flames,David Guetta,,1547433,2018-05-18
1374,Say Something,Justin Timberlake,,1545564,2018-05-18
1375,One Dance,Drake,,1539211,2018-05-18
1376,Window Pain - Outro,J. Cole,,1535891,2018-05-18
1377,X ,"ScHoolboy Q, 2 Chainz, Saudi, 2 Chainz, Saudi",,1529148,2018-05-18
1378,Let Me Go ,"Hailee Steinfeld, Alesso, Florida Georgia Line, watt, Alesso, Florida Georgia Line, watt",,1528509,2018-05-18
1379,Losin Control,Russ,,1526874,2018-05-18
1380,What Ifs,Kane Brown,,1509789,2018-05-18
1381,Africa,Toto,,1502523,2018-05-18
1382,Take Back Home Girl (Feat. Tori Kelly),Chris Lane,,1501786,2018-05-18
1383,Wolves,Selena Gomez,,1499804,2018-05-18
1384,Long Time - Intro,Playboi Carti,,1496921,2018-05-18
1385,Say You Won't Let Go,James Arthur,,1491668,2018-05-18
1386,Foreign,Playboi Carti,,1489228,2018-05-18
1387,Like I Do,David Guetta,,1475593,2018-05-18
1388,Famous,Mason Ramsey,,1474122,2018-05-18
1389,Yours,Russell Dickerson,,1472722,2018-05-18
1390,Wish ,Diplo,Trippie Redd,1471405,2018-05-18
1391,the remedy for a broken heart (why am I so in love),XXXTENTACION,,1468308,2018-05-18
1392,Hurricane,Luke Combs,,1468147,2018-05-18
1393,Slippery ,Migos,Gucci Mane,1467686,2018-05-18
1394,Too Good At Goodbyes,Sam Smith,,1466115,2018-05-18
1395,Rewrite The Stars,Zac Efron,,1465131,2018-05-18
1396,3005,Childish Gambino,,1463381,2018-05-18
1397,This Is Me,Keala Settle,,1447011,2018-05-18
1398,Relationship ,Young Thug,Future,1436989,2018-05-18
1399,"thank u, next",Ariana Grande,,13117899,2018-12-14
1400,whoa (mind in awe),XXXTENTACION,,9973406,2018-12-14
1401,Going Bad ,Meek Mill,Drake,9813332,2018-12-14
1402,SICKO MODE,Travis Scott,,9651605,2018-12-14
1403,BAD!,XXXTENTACION,,9287933,2018-12-14
1404,Drip Too Hard (Lil Baby & Gunna),Lil Baby,,9217854,2018-12-14
1405,Mo Bamba,Sheck Wes,,8550346,2018-12-14
1406,ZEZE ,Kodak Black,"Travis Scott, Offset",8463507,2018-12-14
1407,Without Me,Halsey,,7922522,2018-12-14
1408,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,7771375,2018-12-14
1409,Guardian angel,XXXTENTACION,,7102380,2018-12-14
1410,Lucid Dreams,Juice WRLD,,6385277,2018-12-14
1411,Wake Up in the Sky,Gucci Mane,,6366260,2018-12-14
1412,I don’t let go,XXXTENTACION,,6216369,2018-12-14
1413,All I Want for Christmas Is You,Mariah Carey,,6194555,2018-12-14
1414,Leave Me Alone,Flipp Dinero,,5994578,2018-12-14
1415,SAD!,XXXTENTACION,,5857016,2018-12-14
1416,Jingle Bell Rock,Bobby Helms,,5432899,2018-12-14
1417,Train food,XXXTENTACION,,5422720,2018-12-14
1418,what are you so afraid of,XXXTENTACION,,5250464,2018-12-14
1419,Moonlight,XXXTENTACION,,5216759,2018-12-14
1420,Rockin' Around The Christmas Tree,Brenda Lee,,5160808,2018-12-14
1421,One Minute ,XXXTENTACION,"Kanye West, Travis Barker",5122031,2018-12-14
1422,KIKA,6ix9ine,,5059858,2018-12-14
1423,STARING AT THE SKY,XXXTENTACION,,5055263,2018-12-14
1424,Happier,Marshmello,,4992662,2018-12-14
1425,Better Now,Post Malone,,4855729,2018-12-14
1426,Armed And Dangerous,Juice WRLD,,4769929,2018-12-14
1427,It's the Most Wonderful Time of the Year,Andy Williams,,4768477,2018-12-14
1428,TIC TOC,6ix9ine,,4737412,2018-12-14
1429,difference (interlude),XXXTENTACION,,4621960,2018-12-14
1430,Better,Khalid,,4607153,2018-12-14
1431,when the party's over,Billie Eilish,,4561031,2018-12-14
1432,Jocelyn Flores,XXXTENTACION,,4474934,2018-12-14
1433,Nonstop,Drake,,4436147,2018-12-14
1434,Last Christmas,Wham!,,4419082,2018-12-14
1435,FEFE,6ix9ine,,4395331,2018-12-14
1436,Santa Tell Me,Ariana Grande,,4320189,2018-12-14
1437,MIA ,Bad Bunny,Drake,4177632,2018-12-14
1438,Arms Around You ,XXXTENTACION,"Maluma, Swae Lee",4095037,2018-12-14
1439,Taki Taki ,"DJ Snake, Selena Gomez, Ozuna, Cardi B, Selena Gomez, Ozuna, Cardi B",,4081064,2018-12-14
1440,Eastside ,"benny blanco, Halsey, Khalid, Halsey, Khalid",,3970251,2018-12-14
1441,It's Beginning to Look a Lot Like Christmas,Michael Bublé,,3926357,2018-12-14
1442,lovely,Billie Eilish,,3904270,2018-12-14
1443,A Holly Jolly Christmas - Single Version,Burl Ives,,3890049,2018-12-14
1444,Taste ,Tyga,Offset,3869018,2018-12-14
1445,Yes Indeed,Lil Baby,,3861389,2018-12-14
1446,High Hopes,Panic! At The Disco,,3686809,2018-12-14
1447,Falling Down - Bonus Track,Lil Peep,,3676850,2018-12-14
1448,Fuck Love ,XXXTENTACION,Trippie Redd,3662830,2018-12-14
1449,Do They Know It's Christmas? - 1984 Version,Band Aid,,3621194,2018-12-14
1450,God's Plan,Drake,,3612858,2018-12-14
1451,Fine China,Future,,3608634,2018-12-14
1452,Let It Snow! Let It Snow! Let It Snow! ,"Frank Sinatra, The B. Swanson Quartet, The B. Swanson Quartet",,3588113,2018-12-14
1453,Money,Cardi B,,3541396,2018-12-14
1454,Topanga,Trippie Redd,,3521348,2018-12-14
1455,10 Freaky Girls ,"Metro Boomin, 21 Savage, 21 Savage",,3518344,2018-12-14
1456,Nothing Breaks Like a Heart ,Mark Ronson,Miley Cyrus,3502998,2018-12-14
1457,Mistletoe,Justin Bieber,,3497120,2018-12-14
1458,The Christmas Song (Merry Christmas To You),Nat King Cole,,3495366,2018-12-14
1459,Psycho ,Post Malone,Ty Dolla $ign,3441179,2018-12-14
1460,Nuketown ,Ski Mask The Slump God,Juice WRLD,3417924,2018-12-14
1461,I Like It,Cardi B,,3394248,2018-12-14
1462,White Christmas,Bing Crosby,,3302662,2018-12-14
1463,MAMA,6ix9ine,,3300918,2018-12-14
1464,changes,XXXTENTACION,,3275039,2018-12-14
1465,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,,3269052,2018-12-14
1466,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,,3261560,2018-12-14
1467,I Fall Apart,Post Malone,,3260387,2018-12-14
1468,rockstar ,Post Malone,21 Savage,3178271,2018-12-14
1469,In My Feelings,Drake,,3146198,2018-12-14
1470,Saturday Nights,Khalid,,3144984,2018-12-14
1471,WAKA,6ix9ine,,3143864,2018-12-14
1472,All Girls Are The Same,Juice WRLD,,3060574,2018-12-14
1473,idontwannabeyouanymore,Billie Eilish,,3039588,2018-12-14
1474,come out and play,Billie Eilish,,3016547,2018-12-14
1475,Calling My Spirit,Kodak Black,,3016362,2018-12-14
1476,breathin,Ariana Grande,,2986992,2018-12-14
1477,Roses ,"benny blanco, Juice WRLD feat. Brendon Urie, Juice WRLD",Brendon Urie,2969005,2018-12-14
1478,Nice For What,Drake,,2886379,2018-12-14
1479,BIG BANK ,YG,"2 Chainz, Big Sean, Nicki Minaj",2863997,2018-12-14
1480,Youngblood,5 Seconds of Summer,,2852831,2018-12-14
1481,Look Alive ,BlocBoy JB,Drake,2824030,2018-12-14
1482,Everybody Dies In Their Nightmares,XXXTENTACION,,2804581,2018-12-14
1483,bellyache,Billie Eilish,,2801698,2018-12-14
1484,God is a woman,Ariana Grande,,2800836,2018-12-14
1485,No Stylist,French Montana,,2799365,2018-12-14
1486,YOSEMITE,Travis Scott,,2789983,2018-12-14
1487,Look Back At It,A Boogie Wit da Hoodie,,2766632,2018-12-14
1488,1400 / 999 Freestyle,Trippie Redd,,2758164,2018-12-14
1489,Shallow,Lady Gaga,,2756396,2018-12-14
1490,It's Beginning to Look a Lot Like Christmas ,"Perry Como, Mitchell Ayres, His Orchestra, Mitchell Ayres, His Orchestra",,2738807,2018-12-14
1491,Lean Wit Me,Juice WRLD,,2721021,2018-12-14
1492,Blue Christmas,Elvis Presley,,2712792,2018-12-14
1493,Ric Flair Drip (& Metro Boomin),Offset,,2705847,2018-12-14
1494,Noticed,Lil Mosey,,2680204,2018-12-14
1495,Feliz Navidad,José Feliciano,,2668079,2018-12-14
1496,Don't Come Out The House ,"Metro Boomin, 21 Savage, 21 Savage",,2660863,2018-12-14
1497,no tears left to cry,Ariana Grande,,2647595,2018-12-14
1498,Holly Jolly Christmas,Michael Bublé,,2626121,2018-12-14
1499,Foot Fungus,Ski Mask The Slump God,,2620398,2018-12-14
1500,I Love It (& Lil Pump),Kanye West,,2564290,2018-12-14
1501,Happy Xmas (War Is Over) - Remastered,John Lennon,,2564030,2018-12-14
1502,Bohemian Rhapsody - Remastered 2011,Queen,,2560698,2018-12-14
1503,Introduction,XXXTENTACION,,2552901,2018-12-14
1504,XO TOUR Llif3,Lil Uzi Vert,,2519851,2018-12-14
1505,ocean eyes,Billie Eilish,,2519024,2018-12-14
1506,Pure Cocaine,Lil Baby,,2510482,2018-12-14
1507,Girls Like You ,Maroon 5,Cardi B,2509990,2018-12-14
1508,Space Cadet ,Metro Boomin,Gunna,2507104,2018-12-14
1509,Close To Me ,"Ellie Goulding, Diplo) (feat. Swae Lee, Diplo) (feat. Swae Lee",,2487786,2018-12-14
1510,STARGAZING,Travis Scott,,2441501,2018-12-14
1511,"Baby, It's Cold Outside ",Brett Eldredge,Meghan Trainor,2421383,2018-12-14
1512,New Patek,Lil Uzi Vert,,2379877,2018-12-14
1513,Love Lies ,"Khalid, Normani, Normani",,2375769,2018-12-14
1514,Uptown Vibes ,Meek Mill,"Fabolous, Anuel AA",2374633,2018-12-14
1515,Beautiful ,Bazzi,Camila Cabello,2369038,2018-12-14
1516,Lucky You ,Eminem,Joyner Lucas,2360669,2018-12-14
1517,BiPolar ,Gucci Mane,Quavo,2357980,2018-12-14
1518,Run Rudolph Run - Single Version,Chuck Berry,,2354061,2018-12-14
1519,Mine,Bazzi,,2352091,2018-12-14
1520,Plug Walk,Rich The Kid,,2350317,2018-12-14
1521,On Me ,Meek Mill,Cardi B,2301323,2018-12-14
1522,the remedy for a broken heart (why am I so in love),XXXTENTACION,,2300459,2018-12-14
1523,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,,2283705,2018-12-14
1524,Underneath the Tree,Kelly Clarkson,,2259785,2018-12-14
1525,Wasted ,Juice WRLD,Lil Uzi Vert,2251460,2018-12-14
1526,Sleigh Ride,The Ronettes,,2241130,2018-12-14
1527,Bad Liar,Imagine Dragons,,2239337,2018-12-14
1528,Uproar,Lil Wayne,,2231824,2018-12-14
1529,Have Yourself A Merry Little Christmas,Sam Smith,,2231585,2018-12-14
1530,Speechless,Dan + Shay,,2193064,2018-12-14
1531,Santa Baby,Ariana Grande,,2184084,2018-12-14
1532,Christmas (Baby Please Come Home),Mariah Carey,,2171992,2018-12-14
1533,Faucet Failure,Ski Mask The Slump God,,2165749,2018-12-14
1534,STOOPID,6ix9ine,,2132615,2018-12-14
1535,Congratulations,Post Malone,,2127582,2018-12-14
1536,Santa Baby ,"Eartha Kitt, Henri René, His Orchestra, Henri René, His Orchestra",,2127130,2018-12-14
1537,Hope,XXXTENTACION,,2104694,2018-12-14
1538,Lust,Lil Skies,,2096200,2018-12-14
1539,WORKIN ME,Quavo,,2095493,2018-12-14
1540,Look At Me!,XXXTENTACION,,2094362,2018-12-14
1541,goosebumps,Travis Scott,,2078721,2018-12-14
1542,Candy Paint,Post Malone,,2072652,2018-12-14
1543,Meant to Be ,Bebe Rexha,Florida Georgia Line,2069629,2018-12-14
1544,Trip,Ella Mai,,2061769,2018-12-14
1545,Natural,Imagine Dragons,,2060830,2018-12-14
1546,Winter Wonderland,Bing Crosby,,2052666,2018-12-14
1547,Ruin My Life,Zara Larsson,,2045618,2018-12-14
1548,I Like Me Better,Lauv,,2037929,2018-12-14
1549,Best Part ,H.E.R.,Daniel Caesar,2020266,2018-12-14
1550,HUMBLE.,Kendrick Lamar,,2005296,2018-12-14
1551,The Middle,Zedd,,1997538,2018-12-14
1552,Tequila,Dan + Shay,,1997271,2018-12-14
1553,Be Alright,Dean Lewis,,1995524,2018-12-14
1554,Nowadays ,Lil Skies,Landon Cube,1981212,2018-12-14
1555,SLOW DANCING IN THE DARK,Joji,,1964452,2018-12-14
1556,Taking A Walk,Trippie Redd,,1962338,2018-12-14
1557,All The Stars ,"Kendrick Lamar, SZA, SZA",,1961421,2018-12-14
1558,BEBE,6ix9ine,,1958125,2018-12-14
1559,Santa Claus Is Coming to Town,Michael Bublé,,1952913,2018-12-14
1560,Te Boté - Remix,Nio Garcia,,1949722,2018-12-14
1561,Carol of the Bells,Mykola Dmytrovych Leontovych,,1949592,2018-12-14
1562,Cold Shoulder ,Gucci Mane,YoungBoy Never Broke Again,1936230,2018-12-14
1563,Young Dumb & Broke,Khalid,,1935060,2018-12-14
1564,Roll In Peace ,Kodak Black,XXXTENTACION,1912702,2018-12-14
1565,Call Out My Name,The Weeknd,,1891872,2018-12-14
